"Found","Response Code","Content Length"
"/index.php","200","7404"
"/download.php","302","281"
"/","200","7402"
"/images/","403","447"
"/home.php","302","281"
"/icons/","403","447"
"/docs/","403","447"
"/contact.php","302","281"
"/search.php","302","281"
"/admin/","200","6881"
"/profile.php","302","281"
"/books.php","302","281"
"/feedback.php","302","281"
"/admin/index.php","200","6881"
"/admin/home.php","302","281"
"/db.php","200","147"
"/admin/feedback.php","302","281"
"/admin/users.php","302","281"
"/logout.php","302","281"
"/icons/small/","403","447"
"/admin/messages.php","302","281"
"/collections.php","302","281"
"/settings.php","302","281"
"/admin/export/","403","447"
"/admin/vendor/","403","447"
"/admin/collections.php","302","281"
"/admin/vendor/composer/","403","447"
